[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]one	[celex]'wVn	[nettalk]wn-
[grapheme]onerous	[celex]'Q-n@-r@s	[nettalk]anxrx-s
[grapheme]oneself	[celex]wVn-'sElf	[nettalk]wn-sElf
[grapheme]ongoing	"[celex]'Qn-""g5-IN"	[nettalk]cngoIG-
[grapheme]onion	[celex]'V-nj@n	[nettalk]^nyxn
[grapheme]onlooker	"[celex]'Qn-""lU-k@R"	[nettalk]cnlU-k-R
[grapheme]only	[celex]'5n-lI	[nettalk]onli
[grapheme]onrush	"[celex]'Qn-""rVS"	[nettalk]cnr^S-
[grapheme]onslaught	[celex]'Qn-sl$t	[nettalk]anslc---t
[grapheme]onto	[celex]'Qn-tu	[nettalk]cntu
[grapheme]onus	[celex]'5-n@s	[nettalk]onxs
[grapheme]onward	[celex]'Qn-w@d	[nettalk]cnw-Rd
[grapheme]onyx	[celex]'Q-nIks	[nettalk]anIX
[grapheme]oodles	[celex]'u-dPz	[nettalk]u-dL-z
[grapheme]ooze	[celex]'uz	[nettalk]u-z-
[grapheme]oozy	[celex]'u-zI	[nettalk]u-zi
[grapheme]opal	[celex]'5-pP	[nettalk]op-L
[grapheme]opalescent	"[celex]""5-p@-'lE-sHt"	[nettalk]opxlEs--Nt
[grapheme]opaque	[celex]5-'p1k	[nettalk]opek--
[grapheme]open	[celex]'5-p@n	[nettalk]opxn
[grapheme]opener	[celex]'5-pH-@R	[nettalk]opxn-R
[grapheme]opening	[celex]'5-p@-nIN	[nettalk]opxnIG-
[grapheme]openwork	[celex]'5-pH-w3k	[nettalk]opxnw-Rk
[grapheme]opera	[celex]'Q-p@-r@	[nettalk]opxrx
[grapheme]operable	[celex]'Q-p@-r@-bP	[nettalk]apxrxbL-
[grapheme]operate	[celex]'Q-p@-r1t	[nettalk]apxret-
[grapheme]operatic	"[celex]""Q-p@-'r{-tIk"	[nettalk]apxr@tIk
[grapheme]operation	"[celex]""Q-p@-'r1-SH"	[nettalk]apxreS-xn
[grapheme]operative	[celex]'Q-p@-r@-tIv	[nettalk]apxrxtIv-
[grapheme]operetta	"[celex]""Q-p@-'rE-t@"	[nettalk]apxrEt-x
[grapheme]ophthalmic	[celex]Qf-'T{l-mIk	[nettalk]af-T-@lmIk
[grapheme]ophthalmology	"[celex]""Qf-T{l-'mQ-l@-_I"	[nettalk]af-T-@lmalxJi
[grapheme]opiate	[celex]'5-p7t	[nettalk]opixt-
[grapheme]opine	[celex]5-'p2n	[nettalk]opAn-
[grapheme]opinion	[celex]@-'pI-nj@n	[nettalk]xpInyxn
[grapheme]opium	[celex]'5-pj@m	[nettalk]opixm
[grapheme]opossum	[celex]@-'pQ-s@m	[nettalk]xpas-xm
[grapheme]opponent	[celex]@-'p5-n@nt	[nettalk]xp-onxnt
[grapheme]opportune	[celex]'Q-p@-tjun	[nettalk]ap--RtYn-
[grapheme]oppose	[celex]@-'p5z	[nettalk]xp-oz-
[grapheme]opposite	[celex]'Q-p@-zIt	[nettalk]ap-xzxt-
[grapheme]opposition	"[celex]""Q-p@-'zI-SH"	[nettalk]ap-xzIS-xn
[grapheme]oppress	[celex]@-'prEs	[nettalk]xp-rEs-
[grapheme]oppression	[celex]@-'prE-SH	[nettalk]xp-rES--xn
[grapheme]opprobrious	[celex]@-'pr5-br7s	[nettalk]xp-robrix-s
[grapheme]optic	[celex]'Qp-tIk	[nettalk]aptIk
[grapheme]optical	[celex]'Qp-tI-kP	[nettalk]aptIk-L
[grapheme]optician	[celex]Qp-'tI-SH	[nettalk]aptIS-xn
[grapheme]optics	[celex]'Qp-tIks	[nettalk]aptIks
[grapheme]optimism	[celex]'Qp-tI-mI-z@m	[nettalk]aptxmIzM
[grapheme]optimistic	"[celex]""Qp-tI-'mI-stIk"	[nettalk]aptxmIstIk
[grapheme]optimum	[celex]'Qp-tI-m@m	[nettalk]aptxmxm
[grapheme]option	[celex]'Qp-SH	[nettalk]apS-xn
[grapheme]opulent	[celex]'Q-pjU-l@nt	[nettalk]apYlxnt
[grapheme]opus	[celex]'5-p@s	[nettalk]opxs
[grapheme]or	[celex]'$R	[nettalk]or
[grapheme]oracle	[celex]'Q-r@-kP	[nettalk]crxkL-
[grapheme]oracular	[celex]Q-'r{-kjU-l@R	[nettalk]cr@kYl-R
[grapheme]oral	[celex]'$-r@l	[nettalk]or-L
[grapheme]orange	[celex]'Q-rIn_	[nettalk]crInJ-
[grapheme]orangeade	"[celex]""Q-rIn_-'1d"	[nettalk]crInJ-ed-
[grapheme]orangutan	[celex]$-'r{N-@-t{n	[nettalk]xr@G-xt@G
[grapheme]orate	[celex]$-'r1t	[nettalk]cret-
[grapheme]oration	[celex]$-'r1-SH	[nettalk]xreS-xn
[grapheme]orator	[celex]'Q-r@-t@R	[nettalk]crxt-R
[grapheme]oratorical	"[celex]""Q-r@-'tQ-rI-kP"	[nettalk]crxtcrIk-L
[grapheme]oratorio	"[celex]""Q-r@-'t$-rI-5"	[nettalk]crxtorio
[grapheme]oratory	[celex]'Q-r@-t@-rI	[nettalk]crxtori
[grapheme]orb	[celex]'$b	[nettalk]crb
[grapheme]orbit	[celex]'$-bIt	[nettalk]crbxt
[grapheme]orchard	[celex]'$-J@d	[nettalk]crC--Rd
[grapheme]orchestra	[celex]'$-kIs-tr@	[nettalk]crk-xstrx
[grapheme]orchestral	[celex]$-'kEs-tr@l	[nettalk]crk-Estr-L
[grapheme]orchestrate	[celex]'$-kI-str1t	[nettalk]crk-xstret-
[grapheme]orchestration	"[celex]""$-kEs-'tr1-SH"	[nettalk]crk-xstreS-xn
[grapheme]orchid	[celex]'$-kId	[nettalk]crk-xd
[grapheme]ordain	[celex]$-'d1n	[nettalk]crde-n
[grapheme]ordeal	[celex]$-'dil	[nettalk]crdi-L
[grapheme]order	[celex]'$-d@R	[nettalk]crd-R
[grapheme]orderly	[celex]'$-d@-lI	[nettalk]crd-Rli
[grapheme]ordinal	[celex]'$-dI-nP	[nettalk]crdIn-L
[grapheme]ordinance	[celex]'$-dI-n@ns	[nettalk]crdInxns-
[grapheme]ordinarily	[celex]'$-dH-r@-lI	[nettalk]crd-NErxli
[grapheme]ordinary	[celex]'$-dH-rI	[nettalk]crd-NEri
[grapheme]ordination	"[celex]""$-dI-'n1-SH"	[nettalk]crd-NeS-xn
[grapheme]ordnance	[celex]'$d-n@ns	[nettalk]crdnxns-
[grapheme]ordure	"[celex]'$-""dj9R"	[nettalk]crJ-R-
[grapheme]ore	[celex]'$R	[nettalk]or-
[grapheme]organ	[celex]'$-g@n	[nettalk]crgxn
[grapheme]organdie	[celex]'$-g@n-dI	[nettalk]crgxndi-
[grapheme]organic	[celex]$-'g{-nIk	[nettalk]crg@nIk
[grapheme]organism	[celex]'$-g@-nI-z@m	[nettalk]crgxnIzM
[grapheme]organist	[celex]'$-g@-nIst	[nettalk]crgxnxst
[grapheme]organization	"[celex]""$-g@-n2-'z1-SH"	[nettalk]crgxnxzeS-xn
[grapheme]organize	[celex]'$-g@-n2z	[nettalk]crgxnAz-
[grapheme]orgasm	[celex]'$-g{-z@m	[nettalk]crg@zM
[grapheme]orgiastic	"[celex]""$-_I-'{-stIk"	[nettalk]crJi@stIk
[grapheme]orgy	[celex]'$-_I	[nettalk]crJi
[grapheme]oriel	[celex]'$-r7l	[nettalk]ori-L
[grapheme]orient	[celex]'$-r7nt	[nettalk]oriEnt
[grapheme]oriental	"[celex]""$-rI-'En-tP"	[nettalk]oriEnt-L
[grapheme]orientation	"[celex]""$-rI-En-'t1-SH"	[nettalk]orixnteS-xn
[grapheme]orifice	[celex]'Q-rI-fIs	[nettalk]crxfxs-
[grapheme]origin	[celex]'Q-rI-_In	[nettalk]crxJxn
[grapheme]original	[celex]@-'rI-_@-nP	[nettalk]xrIJxn-L
[grapheme]originate	[celex]@-'rI-_@-n1t	[nettalk]xrIJxnet-
[grapheme]oriole	[celex]'$-rI-5l	[nettalk]oriol-
[grapheme]orison	[celex]'Q-rI-z@n	[nettalk]crxsxn
[grapheme]ormolu	[celex]'$-m5-lu	[nettalk]crmxlu
[grapheme]ornament	[celex]'$-n@-mEnt	[nettalk]crnxmxnt
[grapheme]ornamental	"[celex]""$-n@-'mEn-tP"	[nettalk]crnxmEnt-L
[grapheme]ornamentation	"[celex]""$-n@-mEn-'t1-SH"	[nettalk]crnxmxnteS-xn
[grapheme]ornate	[celex]$-'n1t	[nettalk]crnet-
[grapheme]ornery	[celex]'$-n@-rI	[nettalk]crnxri
[grapheme]ornithology	"[celex]""$-nI-'TQ-l@-_I"	[nettalk]crnxT-alxJi
[grapheme]orotund	[celex]'Q-r5-tVnd	[nettalk]crxtxnd
[grapheme]orphan	[celex]'$-fH	[nettalk]crf-xn
[grapheme]orphanage	[celex]'$-f@-nI_	[nettalk]crf-xnIJ-
[grapheme]orris	[celex]'Q-rIs	[nettalk]cr-xs
[grapheme]orthodox	[celex]'$-T@-dQks	[nettalk]crT-xdaX
[grapheme]orthographic	"[celex]""$-T5-'gr{-fIk"	[nettalk]crT-xgr@f-Ik
[grapheme]orthography	[celex]$-'TQ-gr@-fI	[nettalk]crT-agrxf-i
[grapheme]ortolan	[celex]'$-t@-l@n	[nettalk]crt-Lxn
[grapheme]oscillate	[celex]'Q-sI-l1t	[nettalk]as-xl-et-
[grapheme]oscillation	"[celex]""Q-sI-'l1-SH"	[nettalk]as-xl-eS-xn
[grapheme]oscillator	[celex]'Q-sI-l1-t@R	[nettalk]as-xl-et-R
[grapheme]oscilloscope	[celex]@-'sI-l5-sk5p	[nettalk]as-Il-xskop-
[grapheme]osculate	[celex]'Qs-kjU-l1t	[nettalk]askYlet-
[grapheme]osculation	"[celex]""Qs-kjU-'l1-SH"	[nettalk]askYleS-xn
[grapheme]osier	[celex]'5-z7R	[nettalk]oZ--R
[grapheme]osmosis	[celex]Qz-'m5-sIs	[nettalk]asmosxs
[grapheme]osprey	[celex]'Qs-prI	[nettalk]aspri-
[grapheme]ossification	"[celex]""Q-sI-fI-'k1-SH"	[nettalk]as-xfxkeS-xn
[grapheme]ossify	[celex]'Q-sI-f2	[nettalk]as-xfA
[grapheme]ostensible	[celex]Q-'stEn-s@-bP	[nettalk]astEnsxbL-
[grapheme]ostentation	"[celex]""Q-stEn-'t1-SH"	[nettalk]astxnteS-xn
[grapheme]osteopath	[celex]'Q-st7-p{T	[nettalk]astixp@T-
[grapheme]osteopathy	"[celex]""Q-stI-'Q-p@-TI"	[nettalk]astiapxT-i
[grapheme]ostracize	[celex]'Q-str@-s2z	[nettalk]astrxsAz-
[grapheme]ostrich	[celex]'Q-strIJ	[nettalk]astrIC-
[grapheme]other	[celex]'V-D@R	[nettalk]^D--R
[grapheme]otiose	[celex]'5-tI-5s	[nettalk]oSios-
[grapheme]otter	[celex]'Q-t@R	[nettalk]at--R
[grapheme]ottoman	[celex]'Q-t5-m@n	[nettalk]at-xmxn
[grapheme]oubliette	"[celex]""u-blI-'Et"	[nettalk]u-bliEt--
[grapheme]ought	[celex]'$t	[nettalk]c---t
[grapheme]ounce	[celex]'6ns	[nettalk]W-ns-
[grapheme]our	[celex]'6-@R	[nettalk]a-r
[grapheme]ours	[celex]'6-@z	[nettalk]W-rz
[grapheme]ourselves	"[celex]""6-@-'sElvz"	[nettalk]a-rsElv-z
[grapheme]oust	[celex]'6st	[nettalk]W-st
[grapheme]out	[celex]'6t	[nettalk]W-t
[grapheme]outbalance	"[celex]""6t-'b{-l@ns"	[nettalk]W-tb@lxns-
[grapheme]outboard	[celex]'6t-b$d	[nettalk]W-tbo-rd
[grapheme]outbound	[celex]'6t-b6nd	[nettalk]W-tbW-nd
[grapheme]outbreak	[celex]'6t-br1k	[nettalk]W-tbre-k
[grapheme]outbuilding	"[celex]'6t-""bIl-dIN"	[nettalk]W-tb-IldIG-
[grapheme]outburst	[celex]'6t-b3st	[nettalk]W-tb-Rst
[grapheme]outcast	[celex]'6t-k#st	[nettalk]W-tk@st
[grapheme]outclass	"[celex]""6t-'kl#s"	[nettalk]W-tkl@s-
[grapheme]outcome	[celex]'6t-kVm	[nettalk]W-tk^m-
[grapheme]outcrop	[celex]'6t-krQp	[nettalk]W-tkrap
[grapheme]outcry	[celex]'6t-kr2	[nettalk]W-tkrA
[grapheme]outdated	[celex]6t-'d1-tId	[nettalk]W-tdetxd
[grapheme]outdoor	[celex]'6t-d$R	[nettalk]W-tdo-r
[grapheme]outdoors	"[celex]""6t-'d$z"	[nettalk]W-tdo-rz
[grapheme]outer	[celex]'6-t@R	[nettalk]W-t-R
[grapheme]outface	"[celex]""6t-'f1s"	[nettalk]W-tfes-
[grapheme]outfield	[celex]'6t-fild	[nettalk]W-tfi-ld
[grapheme]outfight	[celex]6t-'f2t	[nettalk]W-tfA--t
[grapheme]outfit	[celex]'6t-fIt	[nettalk]W-tfIt
[grapheme]outflank	"[celex]""6t-'fl{Nk"	[nettalk]W-tfl@Gk
[grapheme]outflow	[celex]'6t-fl5	[nettalk]W-tflo-
[grapheme]outfox	[celex]6t-'fQks	[nettalk]W-tfaX
[grapheme]outgeneral	"[celex]""6t-'_E-n@-r@l"	[nettalk]W-tJEnxr-L
[grapheme]outgo	"[celex]""6t-'g5"	[nettalk]W-tgo
[grapheme]outgoing	"[celex]""6t-'g5-IN"	[nettalk]W-tgoIG-
[grapheme]outgrow	"[celex]""6t-'gr5"	[nettalk]W-tgro-
[grapheme]outgrowth	[celex]'6t-gr5T	[nettalk]W-tgro-T-
[grapheme]outhouse	[celex]'6t-h6s	[nettalk]W-thW-s-
[grapheme]outing	[celex]'6-tIN	[nettalk]W-tIG-
[grapheme]outlandish	[celex]6t-'l{n-dIS	[nettalk]W-tl@ndIS-
[grapheme]outlaw	[celex]'6t-l$	[nettalk]W-tlc-
[grapheme]outlay	[celex]6t-'l1	[nettalk]W-tle-
[grapheme]outlive	"[celex]""6t-'lIv"	[nettalk]W-tlIv-
[grapheme]outlook	[celex]'6t-lUk	[nettalk]W-tlU-k
[grapheme]outmoded	"[celex]""6t-'m5-dId"	[nettalk]W-tmodxd
[grapheme]outpatient	"[celex]'6t-""p1-SHt"	[nettalk]W-tpeSx-nt
[grapheme]outplay	"[celex]""6t-'pl1"	[nettalk]W-tple-
[grapheme]outpoint	[celex]6t-'p4nt	[nettalk]W-tpO-nt
[grapheme]outpost	[celex]'6t-p5st	[nettalk]W-tpost
[grapheme]outrage	[celex]'6t-r1_	[nettalk]W-treJ-
[grapheme]outrageous	[celex]6t-'r1-_@s	[nettalk]W-treJx--s
[grapheme]outrank	[celex]6t-'r{Nk	[nettalk]W-tr@Gk
[grapheme]outre	[celex]'u-tr1	[nettalk]u-tre
[grapheme]outrider	"[celex]'6t-""r2-d@R"	[nettalk]W-trAd-R
[grapheme]outright	[celex]6t-'r2t	[nettalk]W-trA--t
[grapheme]outrun	"[celex]""6t-'rVn"	[nettalk]W-tr^n
[grapheme]outset	[celex]'6t-sEt	[nettalk]W-tsEt
[grapheme]outshine	"[celex]""6t-'S2n"	[nettalk]W-tS-An-
[grapheme]outside	"[celex]""6t-'s2d"	[nettalk]W-tsAd-
[grapheme]outsider	"[celex]""6t-'s2-d@R"	[nettalk]W-tsAd-R
[grapheme]outsize	[celex]'6t-s2z	[nettalk]W-tsAz-
[grapheme]outsmart	[celex]6t-'sm#t	[nettalk]W-tsmart
[grapheme]outspread	"[celex]""6t-'sprEd"	[nettalk]W-tsprE-d
[grapheme]outstanding	"[celex]""6t-'st{n-dIN"	[nettalk]W-tst@ndIG-
[grapheme]outstay	"[celex]""6t-'st1"	[nettalk]W-tste-
[grapheme]outward	[celex]'6t-w@d	[nettalk]W-tw-Rd
[grapheme]outwear	"[celex]""6t-'w8R"	[nettalk]W-twE-r
[grapheme]outwork	[celex]'6t-w3k	[nettalk]W-tw-Rk
[grapheme]outworn	[celex]'6t-w$n	[nettalk]W-tworn
[grapheme]oval	[celex]'5-vP	[nettalk]ov-L
[grapheme]ovarian	[celex]5-'v8-r7n	[nettalk]ov@rixn
[grapheme]ovary	[celex]'5-v@-rI	[nettalk]ovxri
[grapheme]ovation	[celex]5-'v1-SH	[nettalk]oveS-xn
[grapheme]oven	[celex]'V-vH	[nettalk]^vxn
[grapheme]over	[celex]'5-v@R	[nettalk]ov-R
[grapheme]overact	"[celex]""5-v@-'r{kt"	[nettalk]ov-R@kt
[grapheme]overage	"[celex]""5-v@-'r1_"	[nettalk]ov-ReJ-
[grapheme]overall	"[celex]""5-v@-'r$l"	[nettalk]ov-Rcl-
[grapheme]overalls	[celex]'5-v@-r$lz	[nettalk]ov-Rcl-z
[grapheme]overarm	[celex]'5-v@-r#m	[nettalk]ov-Rarm
[grapheme]overawe	"[celex]""5-v@-'r$"	[nettalk]ov-Rc--
[grapheme]overboard	[celex]'5-v@-b$d	[nettalk]ov-Rbo-rd
[grapheme]overburden	"[celex]""5-v@-'b3-dH"	[nettalk]ov-Rb-Rd-N
[grapheme]overcast	[celex]'5-v@-k#st	[nettalk]ov-Rk@st
[grapheme]overcharge	"[celex]""5-v@-'J#_"	[nettalk]ov-RC-arJ-
[grapheme]overcloud	"[celex]""5-v@-'kl6d"	[nettalk]ov-RklW-d
[grapheme]overcoat	[celex]'5-v@-k5t	[nettalk]ov-Rko-t
[grapheme]overcome	"[celex]""5-v@-'kVm"	[nettalk]ov-Rk^m-
[grapheme]overdraft	[celex]'5-v@-dr#ft	[nettalk]ov-Rdr@ft
[grapheme]overexpose	"[celex]""5-v@-rIk-'sp5z"	[nettalk]ov-RIXpoz-
[grapheme]overflow	[celex]5-v@-'fl5	[nettalk]ov-Rflo-
[grapheme]overhand	[celex]'5-v@-h{nd	[nettalk]ov-Rh@nd
[grapheme]overhang	"[celex]""5-v@-'h{N"	[nettalk]ov-Rh@G-
[grapheme]overhaul	"[celex]""5-v@-'h$l"	[nettalk]ov-Rhc-l
[grapheme]overhead	[celex]'5-v@-hEd	[nettalk]ov-RhE-d
[grapheme]overhear	"[celex]""5-v@-'h7R"	[nettalk]ov-RhI-r
[grapheme]overjoy	"[celex]""5-v@-'_4"	[nettalk]ov-RJO-
[grapheme]overkill	[celex]'5-v@-kIl	[nettalk]ov-RkIl-
[grapheme]overland	"[celex]""5-v@-'l{nd"	[nettalk]ov-Rl@nd
[grapheme]overlap	"[celex]""5-v@-'l{p"	[nettalk]ov-Rl@p
[grapheme]overlay	"[celex]""5-v@-'l1"	[nettalk]ov-Rle-
[grapheme]overleap	"[celex]""5-v@-'lip"	[nettalk]ov-Rli-p
[grapheme]overlook	"[celex]""5-v@-'lUk"	[nettalk]ov-RlU-k
[grapheme]overlord	[celex]'5-v@-l$d	[nettalk]ov-Rlcrd
[grapheme]overly	[celex]'5-v@-lI	[nettalk]ov-Rli
[grapheme]overmaster	"[celex]""5-v@-'m#-st@R"	[nettalk]ov-Rm@st-R
[grapheme]overpass	[celex]'5-v@-p#s	[nettalk]ov-Rp@s-
[grapheme]overplay	"[celex]""5-v@-'pl1"	[nettalk]ov-Rple-
[grapheme]overreach	"[celex]""5-v@-'riJ"	[nettalk]ov-Rri-C-
[grapheme]overseas	"[celex]""5-v@-'siz"	[nettalk]ov-Rsi-z
[grapheme]overseer	[celex]'5-v@-s7R	[nettalk]ov-RsI-r
[grapheme]overshadow	"[celex]""5-v@-'S{-d5"	[nettalk]ov-RS-@do-
[grapheme]overshoe	[celex]'5-v@-Su	[nettalk]ov-RS-u-
[grapheme]overshoot	"[celex]""5-v@-'Sut"	[nettalk]ov-RS-u-t
[grapheme]oversight	[celex]'5-v@-s2t	[nettalk]ov-RsA--t
[grapheme]overt	[celex]'5-v3t	[nettalk]ov-Rt
[grapheme]overtake	"[celex]""5-v@-'t1k"	[nettalk]ov-Rtek-
[grapheme]overthrow	"[celex]""5-v@-'Tr5"	[nettalk]ov-RT-ro-
[grapheme]overtime	[celex]'5-v@-t2m	[nettalk]ov-RtAm-
[grapheme]overtone	[celex]'5-v@-t5n	[nettalk]ov-Rton-
[grapheme]overtop	"[celex]""5-v@-'tQp"	[nettalk]ov-Rtap
[grapheme]overture	"[celex]'5-v@-""tj9R"	[nettalk]ov-RCUr-
[grapheme]overturn	"[celex]""5-v@-'t3n"	[nettalk]ov-Rt-Rn
[grapheme]overwrought	"[celex]""5-v@-'r$t"	[nettalk]ov-R-rc---t
[grapheme]oviparous	[celex]5-'vI-p@-r@s	[nettalk]ovIpxrx-s
[grapheme]ovoid	[celex]'5-v4d	[nettalk]ovO-d
[grapheme]ovum	[celex]'5-v@m	[nettalk]ovxm
[grapheme]owe	[celex]'5	[nettalk]o--
[grapheme]owl	[celex]'6l	[nettalk]W-l
[grapheme]owlet	[celex]'6-lIt	[nettalk]W-lxt
[grapheme]owlish	[celex]'6-lIS	[nettalk]W-lIS-
[grapheme]own	[celex]'5n	[nettalk]o-n
[grapheme]ownership	[celex]'5-n@-SIp	[nettalk]o-n-RS-Ip
[grapheme]ox	[celex]'Qks	[nettalk]aX
[grapheme]oxen	[celex]'Qk-s@n	[nettalk]aXxn
[grapheme]oxide	[celex]'Qk-s2d	[nettalk]aXAd-
[grapheme]oxidize	[celex]'Qk-sI-d2z	[nettalk]aXxdAz-
[grapheme]oxyacetylene	"[celex]""Qk-s7-'sE-tI-lin"	[nettalk]aXixsEt-Lxn-
[grapheme]oxygen	[celex]'Qk-sI-_@n	[nettalk]aXIJxn
[grapheme]oyster	[celex]'4-st@R	[nettalk]O-st-R
[grapheme]ozone	[celex]'5-z5n	[nettalk]ozon-
[grapheme]pa	[celex]'p#	[nettalk]pa
[grapheme]pabulum	[celex]'p{-bjU-l@m	[nettalk]p@bYlxm
[grapheme]pace	[celex]'p1s	[nettalk]pes-
[grapheme]pacemaker	"[celex]'p1s-""m1-k@R"	[nettalk]pes-mek-R
[grapheme]pachyderm	[celex]'p{-kI-d3m	[nettalk]p@k-Id-Rm
[grapheme]pacific	[celex]p@-'sI-fIk	[nettalk]pxsIfIk
[grapheme]pacification	"[celex]""p{-sI-fI-'k1-SH"	[nettalk]p@sxfxkeS-xn
[grapheme]pacifier	[celex]'p{-sI-f2-@R	[nettalk]p@sxfA-R
[grapheme]pacify	[celex]'p{-sI-f2	[nettalk]p@sxfA
[grapheme]pack	[celex]'p{k	[nettalk]p@k-
[grapheme]package	[celex]'p{-kI_	[nettalk]p@k-IJ-
[grapheme]packer	[celex]'p{-k@R	[nettalk]p@k--R
[grapheme]packet	[celex]'p{-kIt	[nettalk]p@k-xt
[grapheme]packsaddle	"[celex]'p{k-""s{-dP"	[nettalk]p@k-s@d-L-
[grapheme]pact	[celex]'p{kt	[nettalk]p@kt
[grapheme]pad	[celex]'p{d	[nettalk]p@d
[grapheme]padding	[celex]'p{-dIN	[nettalk]p@d-IG-
[grapheme]paddle	[celex]'p{-dP	[nettalk]p@d-L-
[grapheme]paddock	[celex]'p{-d@k	[nettalk]p@d-xk-
[grapheme]paddy	[celex]'p{-dI	[nettalk]p@d-i
[grapheme]padlock	[celex]'p{d-lQk	[nettalk]p@dlak-
[grapheme]padre	[celex]'p#-drI	[nettalk]padre
[grapheme]paean	[celex]'pi-@n	[nettalk]p-ixn
[grapheme]pagan	[celex]'p1-g@n	[nettalk]pegxn
[grapheme]page	[celex]'p1_	[nettalk]peJ-
[grapheme]pageant	[celex]'p{-_@nt	[nettalk]p@Jx-nt
[grapheme]pagination	"[celex]""p{-_I-'n1-SH"	[nettalk]p@JxneS-xn
[grapheme]pagoda	[celex]p@-'g5-d@	[nettalk]pxgodx
[grapheme]paid	[celex]'p1d	[nettalk]pe-d
[grapheme]pail	[celex]'p1l	[nettalk]pe-l
[grapheme]pain	[celex]'p1n	[nettalk]pe-n
[grapheme]painstaking	"[celex]'p1nz-""t1-kIN"	[nettalk]pe-nstekIG-
[grapheme]paint	[celex]'p1nt	[nettalk]pe-nt
[grapheme]pair	[celex]'p8R	[nettalk]p@-r
[grapheme]paisley	[celex]'p1z-lI	[nettalk]pe-zli-
[grapheme]pal	[celex]'p{l	[nettalk]p@l
[grapheme]palace	[celex]'p{-lIs	[nettalk]p@lxs-
[grapheme]paladin	[celex]'p{-l@-dIn	[nettalk]p@lxdxn
[grapheme]palanquin	"[celex]""p{-l@n-'kin"	[nettalk]p@lxnk-in
[grapheme]palatable	[celex]'p{-l@-t@-bP	[nettalk]p@lxtxbL-
[grapheme]palate	[celex]'p{-l@t	[nettalk]p@lxt-
[grapheme]palatial	[celex]p@-'l1-SP	[nettalk]pxleS--L
[grapheme]palatinate	[celex]p@-'l{-tI-n@t	[nettalk]pxl@t-Nxt-
[grapheme]palatine	[celex]'p{-l@-t2n	[nettalk]p@lxtAn-
[grapheme]palaver	[celex]p@-'l#-v@R	[nettalk]pxl@v-R
[grapheme]pale	[celex]'p1l	[nettalk]pel-
[grapheme]paleface	[celex]'p1l-f1s	[nettalk]pel-fes-
[grapheme]paleography	"[celex]""p{-lI-'Q-gr@-fI"	[nettalk]peliagrxf-i
[grapheme]paleontology	"[celex]""p{-lI-Qn-'tQ-l@-_I"	[nettalk]peliantalxJi
[grapheme]palette	[celex]'p{-l@t	[nettalk]p@lxt--
[grapheme]palfrey	[celex]'p$l-frI	[nettalk]pclfri-
[grapheme]palimpsest	[celex]'p{-lImp-sEst	[nettalk]p@lxmpsEst
[grapheme]palindrome	[celex]'p{-lIn-dr5m	[nettalk]p@lxndrom-
[grapheme]paling	[celex]'p1-lIN	[nettalk]pelIG-
[grapheme]palisade	"[celex]""p{-lI-'s1d"	[nettalk]p@lxsed-
[grapheme]pall	[celex]'p$l	[nettalk]pcl-
[grapheme]pallbearer	"[celex]'p$l-""b8-r@R"	[nettalk]pcl-bE-r-R
[grapheme]pallet	[celex]'p{-lIt	[nettalk]p@l-xt
[grapheme]palliate	[celex]'p{-lI-1t	[nettalk]p@l-iet-
[grapheme]palliation	"[celex]""p{-lI-'1-SH"	[nettalk]p@l-ieS-xn
[grapheme]palliative	[celex]'p{-l7-tIv	[nettalk]p@l-ietIv-
[grapheme]pallid	[celex]'p{-lId	[nettalk]p@l-xd
[grapheme]pallor	[celex]'p{-l@R	[nettalk]p@l--R
[grapheme]palm	[celex]'p#m	[nettalk]pa-m
[grapheme]palmer	[celex]'p#-m@R	[nettalk]pa-m-R
[grapheme]palmetto	[celex]p{l-'mE-t5	[nettalk]p@lmEt-o
[grapheme]palmistry	[celex]'p#-mIs-trI	[nettalk]pa-mxstri
[grapheme]palmy	[celex]'p#-mI	[nettalk]pa-mi
[grapheme]palomino	"[celex]""p{-l@-'mi-n5"	[nettalk]p@lxmino
[grapheme]palpable	[celex]'p{l-p@-bP	[nettalk]p@lpxbL-
[grapheme]palpate	[celex]'p{l-p1t	[nettalk]p@lpet-
[grapheme]palpation	"[celex]""p{l-'p1-SH"	[nettalk]p@lpeS-xn
[grapheme]palpitate	[celex]'p{l-pI-t1t	[nettalk]p@lpxtet-
[grapheme]palpitation	"[celex]""p{l-pI-'t1-SH"	[nettalk]p@lpxteS-xn
[grapheme]palsy	[celex]'p$l-zI	[nettalk]pclzi
[grapheme]pamper	[celex]'p{m-p@R	[nettalk]p@mp-R
[grapheme]pamphlet	[celex]'p{m-flIt	[nettalk]p@mf-lxt
[grapheme]pamphleteer	"[celex]""p{m-fl@-'t7R"	[nettalk]p@mf-lxtI-r
[grapheme]pan	[celex]'p{n	[nettalk]p@n
[grapheme]panacea	"[celex]""p{-n@-'s7"	[nettalk]p@nxsix
[grapheme]panache	[celex]p@-'n{S	[nettalk]pxn@S--
[grapheme]panama	[celex]'p{-n@-m#	[nettalk]p@nxma
[grapheme]pancake	[celex]'p{N-k1k	[nettalk]p@nkek-
[grapheme]panchromatic	"[celex]""p{n-kr5-'m{-tIk"	[nettalk]p@nk-rom@tIk
